Country,Subject Descriptor,Subject Notes,Units,2007,2008,2009,2010,2011,2012,2013,2014
"Afghanistan, Rep. of.","Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,20.742,3.242,6.000,5.000,4.000,4.000,4.000,4.000
Albania,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,3.057,2.162,1.825,2.634,2.789,2.778,2.920,3.000
Algeria,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,3.864,5.780,3.500,3.300,3.200,3.100,3.000,3.000
Angola,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,11.776,13.170,14.000,16.000,12.500,12.000,10.000,0.000
Antigua and Barbuda,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,5.200,0.731,-1.420,2.500,3.400,3.000,2.500,2.500
Argentina,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,8.468,7.238,5.000,5.000,5.000,5.000,5.000,5.000
Armenia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,6.648,5.200,4.501,3.025,4.043,4.043,4.043,4.000
Australia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,2.958,3.685,1.611,1.205,2.644,2.583,2.513,2.340
Austria,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,3.480,1.474,1.250,0.800,0.800,1.200,1.500,1.800
Azerbaijan,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,19.533,15.400,4.500,6.000,6.000,6.000,6.000,6.000
"Bahamas, The","Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,2.852,4.547,1.000,0.240,0.076,0.601,1.312,1.665
Bahrain,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,4.001,5.122,3.000,2.500,2.000,2.000,2.000,2.000
Bangladesh,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,9.637,5.956,4.649,6.483,5.485,5.000,4.488,4.000
Barbados,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,4.786,7.182,3.190,7.220,2.290,1.910,2.240,1.970
Belarus,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,12.072,13.300,10.990,7.997,6.024,6.024,6.024,6.024
Belgium,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,3.106,2.711,0.056,1.156,1.256,1.306,1.306,1.306
Belize,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,4.100,4.440,1.000,2.500,2.500,2.500,2.500,2.500
Benin,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,0.293,9.897,3.500,3.311,2.833,2.833,2.833,2.833
Bhutan,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,4.775,9.200,5.500,4.000,3.985,3.950,3.882,3.882
Bolivia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,11.726,11.800,3.000,4.000,3.500,3.500,3.500,3.500
Bosnia and Herzegovina,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,4.944,3.800,0.800,1.800,2.000,2.200,2.400,2.476
Botswana,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,8.141,13.678,6.645,6.211,5.727,5.306,5.206,5.006
Brazil,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,4.457,5.902,4.188,4.355,4.531,4.531,4.469,4.531
Brunei Darussalam,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,0.300,2.700,1.200,1.200,1.200,1.200,1.200,1.200
Bulgaria,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,11.575,7.188,1.500,1.700,2.000,3.500,3.500,3.400
Burkina Faso,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,2.267,11.582,2.363,1.976,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,14.690,25.664,9.073,7.500,6.000,5.500,5.000,5.000
Cambodia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,13.952,12.520,4.996,4.593,3.970,3.660,3.350,3.042
Cameroon,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,3.441,5.313,0.135,2.000,2.000,2.000,2.000,2.000
Canada,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,2.466,1.931,0.194,1.650,2.025,1.980,2.000,2.000
Cape Verde,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,3.378,6.672,1.000,2.001,2.000,2.000,2.000,2.000
Central African Republic,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,-0.239,14.521,1.104,2.500,2.500,2.500,2.500,2.500
Chad,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,1.658,9.671,-9.000,3.000,3.000,3.000,3.000,3.000
Chile,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,7.839,7.591,-0.508,2.500,3.000,3.000,3.000,3.000
China,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,6.633,2.767,0.767,0.645,1.450,1.900,1.900,1.900
Colombia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Annual percent change,5.694,7.675,3.800,3.600,3.600,3.500,3.250,3.000
