Country,Subject Descriptor,Subject Notes,Units,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.875,7.241,4.002,6.397,5,5,5,5
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.43,1.853,1.788,3,3,3,3,3
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.035,1.148,4.536,4,4,4,4,4
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.042,7.687,7.358,7.2,6.9,6.6,6.3,6.3
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.839,1.059,1.407,2.018,2.477,2.477,2.477,2.477
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.842,10.946,10.9,10.9,10.9,10.9,10.9,10.9
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.227,5.556,2.362,3.6,4,4,4,4
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.204,2.745,2.317,2.778,2.269,2.651,2.524,2.524
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.921,2,1.74,1.7,1.7,1.7,1.7,1.7
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.329,3.62,2,3.9,3.5,4,4,4
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.738,0.824,1.423,4.449,2.008,1.849,1.645,1.416
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.58,3.99,2.571,2.234,2.649,2.639,2.667,2.614
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.136,7.346,6.833,6.5,6.2,5.95,5.8,5.55
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.408,1.061,2.544,1.962,2.022,2.694,2.843,2.744
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,21.778,16.466,18.4,17,16,16.268,16.468,16.468
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.081,1.166,0.24,1.213,1.246,1.308,1.318,1.302
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.807,1.607,2,2,2,2,2,2
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.77,-1.838,3.965,2.799,2.799,2.799,2.799,2.799
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.019,9.993,9.575,8.414,7.573,6.884,6.65,6.69
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.546,6.476,5.5,5.221,5.012,5.012,5.012,5.012
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.049,-0.092,1.1,1.5,1.8,2,2.1,2.1
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.427,4.124,5.401,5.401,5.301,5.301,5.301,5.301
