Country,Subject Descriptor,Subject Notes,Units,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.376,5.697,4.998,5.000,5.000,5.000,5.000,5.000
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.664,2.430,2.486,3.000,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.160,9.030,5.000,3.968,4.218,4.270,4.411,4.411
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.376,9.021,9.200,7.800,7.400,7.000,7.000,7.000
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.027,1.839,3.144,3.070,3.101,2.885,2.937,2.641
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.508,10.842,10.053,10.053,10.053,10.053,10.053,10.053
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.652,3.185,4.000,4.000,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.993,2.204,2.320,2.901,2.340,2.513,2.422,2.422
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.399,2.921,2.200,1.900,1.900,1.900,1.900,1.900
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.550,-0.270,7.000,6.500,6.500,6.500,6.000,6.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.174,2.300,1.969,1.969,1.969,1.969,1.969,1.969
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.178,2.580,2.000,2.000,2.000,2.000,2.000,2.000
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.629,7.399,5.950,6.143,5.663,5.500,5.500,5.500
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.541,1.182,-0.272,-0.697,0.419,1.099,0.433,0.703
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,108.686,21.778,16.800,18.800,20.900,20.112,20.093,20.052
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.190,2.081,1.466,1.234,1.137,1.152,1.172,1.188
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.462,0.618,2.000,2.000,2.000,2.000,2.000,2.000
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.827,6.770,3.289,3.100,3.000,2.799,2.799,2.799
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.478,12.987,9.328,8.164,7.680,6.573,5.883,5.998
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.900,4.532,4.417,4.157,3.970,4.033,4.033,4.033
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.732,2.049,1.800,1.800,1.900,2.000,2.200,2.200
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.175,7.427,7.027,6.727,6.527,6.427,6.427,6.427
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.503,5.839,5.503,4.500,4.500,4.500,4.500,4.500
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.803,0.466,1.500,1.966,1.617,1.529,1.442,1.442
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.046,2.765,1.800,2.000,2.500,3.000,3.000,3.000
Burkina Faso,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.090,2.008,2.000,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,14.892,11.756,9.022,5.875,5.667,5.503,5.077,5.096
Cambodia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.908,2.541,4.594,3.970,3.042,3.042,3.042,3.000
Cameroon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.732,3.000,3.000,2.500,2.500,2.500,2.500,2.500
Canada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.661,0.937,1.884,1.871,2.022,2.022,2.022,2.022
Cape Verde,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.581,4.149,3.500,3.100,2.500,2.500,2.500,2.500
Central African Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.341,1.730,2.360,2.311,2.322,1.545,1.984,1.985
