Country,Subject Descriptor,Subject Notes,Units,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.487,0.077,4.665,7.188,4.822,7.228,5.187,7.441
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.660,1.956,1.793,2.296,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.253,4.362,5.900,4.800,4.300,4.000,4.000,4.000
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.498,14.270,48.000,32.000,28.000,24.000,20.000,16.000
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.327,0.900,1.450,2.171,2.549,2.549,2.549,2.500
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,23.915,,39.362,20.500,17.500,13.000,10.300,9.400
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.578,-0.129,1.000,3.479,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.622,1.690,1.570,2.015,2.600,2.524,2.524,2.524
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.749,1.055,1.186,1.300,1.900,2.000,2.000,2.000
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.123,7.693,12.800,4.200,4.100,4.000,4.000,4.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.207,2.020,0.958,1.532,1.725,1.637,1.389,1.309
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.502,0.732,4.380,2.530,4.870,2.573,2.420,2.414
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.108,6.463,7.026,7.022,6.566,6.106,5.799,5.650
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.312,-2.462,1.695,2.300,2.755,2.234,2.653,2.371
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,16.220,11.970,12.981,10.982,10.008,9.014,9.014,9.015
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.391,1.450,2.512,1.179,1.669,1.501,1.550,1.499
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.173,-0.585,2.000,2.300,2.200,2.000,2.000,1.971
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.761,2.301,2.188,2.283,2.315,2.315,2.337,2.337
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.914,7.421,7.573,6.884,6.650,6.134,5.644,5.644
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.198,2.952,5.074,5.012,5.012,5.012,5.012,5.012
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.473,-1.246,-0.330,0.709,1.450,1.714,1.987,1.841
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.727,3.100,3.300,3.600,4.300,4.000,4.500,4.500
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.408,10.673,7.248,4.996,4.772,4.474,4.471,4.510
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.295,-0.983,0.372,0.100,0.200,0.100,0.300,0.200
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.951,-0.896,-0.800,1.400,1.800,2.000,2.100,2.100
Burkina Faso,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.149,1.274,1.637,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.745,7.132,11.570,7.619,5.064,4.435,5.148,4.857
Cabo Verde,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.415,-0.538,1.000,1.500,2.000,2.000,2.000,2.000
Cambodia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.040,2.848,3.212,2.939,3.042,3.042,3.042,3.042
Cameroon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.586,2.750,2.200,2.200,2.200,2.200,2.200,2.200
Canada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.920,1.300,1.841,2.117,2.080,1.996,1.998,1.999
Central African Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.670,4.838,3.983,3.468,2.965,3.000,3.000,3.000
Chad,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.718,-0.299,4.982,3.000,3.000,3.000,3.000,3.000
Chile,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.655,4.405,3.463,3.000,3.000,3.000,3.000,3.000
China,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.500,1.600,2.300,2.300,2.400,2.600,3.000,3.000
Colombia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.659,6.771,5.958,3.680,3.000,3.100,3.000,3.000
Comoros,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.000,3.332,6.358,1.469,1.039,1.200,1.760,2.182
Democratic Republic of the Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.030,0.889,2.450,3.000,3.200,3.500,3.000,2.900
Republic of Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.476,2.178,4.565,3.499,3.628,3.607,3.536,3.665
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.124,-0.801,2.250,3.000,3.000,3.000,3.000,3.000
