Country,Subject Descriptor,Subject Notes,Units,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.875,7.241,4.002,6.397,5.000,5.000,5.000,5.000
Albania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.430,1.853,1.788,3.000,3.000,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.035,1.148,4.536,4.000,4.000,4.000,4.000,4.000
Angola,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.042,7.687,7.358,7.200,6.900,6.600,6.300,6.300
Antigua and Barbuda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.839,1.059,1.407,2.018,2.477,2.477,2.477,2.477
Argentina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.842,10.946,,,,,,
Armenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.227,5.556,2.362,3.600,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.204,2.745,2.317,2.778,2.269,2.651,2.524,2.524
Austria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.921,2.000,1.740,1.700,1.700,1.700,1.700,1.700
Azerbaijan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.329,3.620,2.000,3.900,3.500,4.000,4.000,4.000
The Bahamas,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.738,0.824,1.423,4.449,2.008,1.849,1.645,1.416
Bahrain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.580,3.990,2.571,2.234,2.649,2.639,2.667,2.614
Bangladesh,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.136,7.346,6.833,6.500,6.200,5.950,5.800,5.550
Barbados,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.408,1.061,2.544,1.962,2.022,2.694,2.843,2.744
Belarus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,21.778,16.466,18.400,17.000,16.000,16.268,16.468,16.468
Belgium,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.081,1.166,0.240,1.213,1.246,1.308,1.318,1.302
Belize,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.807,1.607,2.000,2.000,2.000,2.000,2.000,2.000
Benin,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.770,-1.838,3.965,2.799,2.799,2.799,2.799,2.799
Bhutan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.019,9.993,9.575,8.414,7.573,6.884,6.650,6.690
Bolivia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.546,6.476,5.500,5.221,5.012,5.012,5.012,5.012
Bosnia and Herzegovina,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.049,-0.092,1.100,1.500,1.800,2.000,2.100,2.100
Botswana,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.427,4.124,5.401,5.401,5.301,5.301,5.301,5.301
Brazil,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.839,5.911,6.246,5.957,5.277,4.740,4.568,4.542
Brunei Darussalam,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.000,0.100,0.400,0.520,0.540,0.560,0.600,0.600
Bulgaria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.765,-0.856,0.000,1.300,2.200,2.200,2.200,2.200
Burkina Faso,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.644,0.108,2.000,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.841,9.017,6.963,5.415,5.775,5.117,5.117,5.117
Cabo Verde,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.149,0.083,2.005,2.496,2.529,2.534,2.538,2.543
Cambodia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.540,4.676,4.186,3.042,3.042,3.042,3.042,3.042
Cameroon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.527,1.652,3.200,2.600,2.400,2.200,2.200,2.200
Canada,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.937,0.983,2.168,1.967,2.073,2.023,2.023,0.595
Central African Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.926,5.856,8.445,1.898,3.596,3.127,2.405,2.398
Chad,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.073,0.859,3.746,3.000,3.000,3.000,3.000,3.000
Chile,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.486,3.011,4.165,2.960,3.000,3.000,3.000,3.000
China,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.500,2.500,2.300,2.500,3.000,3.000,3.000,3.000
Colombia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.437,1.932,3.346,3.042,3.042,3.042,3.042,3.042
Comoros,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.984,3.475,3.861,2.985,2.669,2.739,2.822,3.560
Democratic Republic of the Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.678,1.046,3.700,4.500,5.000,5.500,5.500,5.500
Republic of Congo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.470,2.088,1.994,2.404,2.556,2.265,2.754,2.478
Costa Rica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.551,3.683,5.500,4.000,4.000,4.000,4.000,4.000
Côte d'Ivoire,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.409,0.415,1.616,1.600,2.500,2.500,2.500,2.500
Croatia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.679,0.298,-0.116,0.404,1.318,1.591,2.500,2.500
Cyprus,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.451,-1.250,0.000,0.700,1.300,1.500,1.700,1.900
Czech Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.367,1.404,1.400,2.000,2.000,2.000,2.000,2.000
Denmark,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.887,0.772,0.600,1.600,1.800,2.000,2.000,2.000
Djibouti,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.063,2.549,3.484,1.155,2.364,2.367,1.636,1.498
Dominica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.006,-1.734,2.398,1.021,1.075,1.558,1.619,2.032
Dominican Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.907,3.876,4.501,4.000,4.000,4.000,4.000,4.000
Ecuador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.163,2.704,2.969,2.988,3.000,3.000,3.000,3.000
Egypt,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.257,9.754,8.205,14.983,12.080,11.810,11.991,11.995
El Salvador,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.783,0.786,2.000,2.000,2.000,2.000,2.000,2.000
Equatorial Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.564,4.866,3.672,3.446,3.370,3.221,2.830,2.671
Eritrea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.256,12.256,12.256,12.256,12.256,12.256,12.300,12.300
Estonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.637,2.047,0.500,2.000,2.100,2.200,2.300,2.400
Ethiopia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.000,7.652,9.286,9.055,9.000,9.000,9.000,9.000
Fiji,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.548,3.427,2.750,3.000,3.000,3.000,2.900,2.900
Finland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.452,1.933,0.958,1.510,1.700,1.900,2.000,2.000
France,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.509,0.035,0.700,0.928,1.000,1.130,1.230,1.320
