Country,Subject Descriptor,Subject Notes,Units,2009,2010,2011,2012,2013,2014,2015,2016
Islamic Republic of Afghanistan,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-5.140,20.443,-0.081,5.000,5.000,5.000,5.000,5.000
Albania,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,3.700,3.400,4.000,2.900,2.900,3.000,3.000,3.000
Algeria,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,5.753,4.453,4.453,4.053,3.853,3.653,3.653,3.653
Angola,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,13.987,15.332,13.033,11.200,7.000,6.000,6.000,4.500
Antigua and Barbuda,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.399,2.941,3.042,3.134,2.182,2.182,2.182,2.182
Argentina,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,7.695,10.923,11.000,11.000,11.000,11.000,11.000,11.000
Armenia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,6.604,9.354,7.016,4.044,4.000,4.000,4.000,4.000
Australia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.108,2.655,3.444,2.870,2.748,2.727,2.666,2.513
Austria,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,1.117,2.173,2.200,1.800,1.900,1.900,1.900,1.900
Azerbaijan,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.676,7.881,9.952,5.000,5.000,5.000,5.000,5.000
The Bahamas,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,1.327,1.673,2.013,1.681,1.969,2.014,2.014,2.014
Bahrain,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.783,1.970,2.700,2.500,2.500,2.500,2.500,2.500
Bangladesh,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,8.505,6.913,8.317,6.329,5.804,5.258,5.022,5.019
Barbados,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.301,5.121,7.005,2.306,2.249,1.782,1.910,1.951
Belarus,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,10.113,9.927,13.000,9.000,7.500,7.000,6.000,5.000
Belgium,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.000,3.342,2.912,2.312,2.112,2.012,2.012,2.012
Belize,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-0.392,1.318,4.418,2.500,2.500,2.500,2.500,2.500
Benin,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-2.892,4.020,4.537,3.000,3.000,3.000,3.000,3.000
Bhutan,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,3.918,9.099,6.250,5.500,4.750,4.500,4.500,4.500
Bolivia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.268,7.173,7.909,5.000,4.000,4.000,4.000,4.000
Bosnia and Herzegovina,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-0.025,3.076,5.000,2.500,2.500,2.600,2.700,2.700
Botswana,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,5.846,7.410,7.492,6.449,6.349,6.149,6.149,6.149
Brazil,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.312,5.909,5.924,4.531,4.469,4.531,4.531,4.531
Brunei Darussalam,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,,,,,,,,
Bulgaria,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,1.638,4.446,5.330,2.400,3.000,3.000,3.000,3.000
Burkina Faso,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-0.296,1.410,2.000,2.000,2.000,2.000,2.000,2.000
Burundi,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.630,4.085,13.900,12.900,9.500,7.000,5.000,4.950
Cambodia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,5.325,3.143,6.465,4.074,3.350,3.042,3.042,3.042
Cameroon,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.943,2.569,3.000,2.500,2.500,2.500,2.500,2.500
Canada,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.787,2.228,1.984,1.969,2.031,2.018,1.992,2.043
Cape Verde,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-0.369,3.426,5.740,4.274,2.300,2.000,2.000,2.000
Central African Republic,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-1.159,2.261,3.400,2.399,2.300,2.200,1.999,1.999
Chad,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.706,-2.200,-2.000,-2.000,3.000,3.000,3.000,3.000
Chile,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-1.380,2.972,4.542,3.200,3.000,3.000,3.000,3.000
China,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.667,4.700,4.191,1.993,2.000,2.000,2.000,2.000
Colombia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.000,3.173,3.203,3.100,3.015,3.006,3.042,3.042
Comoros,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.174,3.224,4.327,2.899,2.987,2.900,2.966,1.571
Democratic Republic of Congo,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,53.438,9.838,13.018,9.000,9.000,8.500,8.000,7.500
Republic of Congo,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.536,5.369,4.984,4.233,3.118,2.712,2.797,2.656
Costa Rica,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.048,5.828,6.000,5.500,5.000,4.500,4.000,4.000
Côte d'Ivoire,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-1.669,5.104,5.000,2.500,2.500,2.500,2.500,2.500
Croatia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,1.862,1.915,3.500,2.400,2.200,2.500,3.000,3.000
Cyprus,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,1.565,1.947,4.058,2.644,2.500,2.400,2.200,2.200
Czech Republic,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.984,2.303,2.200,2.000,2.000,2.000,2.000,2.000
Denmark,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,1.430,2.902,2.149,2.000,2.000,2.000,2.000,2.000
Djibouti,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.166,2.798,4.027,2.100,2.300,2.500,2.500,2.500
Dominica,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,3.164,2.400,3.500,1.300,1.400,1.500,1.500,1.500
Dominican Republic,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,5.764,6.236,6.000,5.500,5.000,4.500,4.500,4.500
Ecuador,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,4.314,3.320,3.400,3.100,3.000,3.000,3.000,3.000
Egypt,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,9.959,10.704,13.500,10.504,9.000,8.000,7.000,6.000
El Salvador,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-0.031,2.130,4.800,2.800,2.800,2.800,2.800,2.800
Equatorial Guinea,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,8.085,7.463,7.250,6.962,7.016,6.557,6.483,6.453
Eritrea,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,22.200,14.198,12.256,12.256,12.256,12.256,12.256,12.256
Estonia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,-1.709,5.416,3.452,2.000,2.500,2.500,2.500,2.500
Ethiopia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.699,7.301,16.033,9.000,9.000,9.000,9.000,9.000
Fiji,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,6.800,3.960,3.300,3.300,3.000,3.000,3.000,3.000
Finland,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,1.802,2.769,2.224,2.182,2.000,2.000,2.000,2.000
France,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.103,1.736,2.143,1.724,1.788,1.908,1.899,1.898
Gabon,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,0.866,0.687,3.500,3.200,3.100,3.000,3.000,3.000
The Gambia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.718,5.789,6.000,5.000,5.000,5.000,5.000,5.000
Georgia,"Inflation, end of period consumer prices","Data for inflation are end of the period, not annual average data.",Percent change,2.983,11.241,9.391,6.500,6.000,5.500,5.500,5.250
