,Inverse_VolatilityBRLUSD Curncy,Inverse_VolatilityPENUSD Curncy,Inverse_VolatilityMXNUSD Curncy,Inverse_VolatilityCOPUSD Curncy,Inverse_VolatilityCLPUSD Curncy,Inverse_VolatilityCNYUSD Curncy,Inverse_VolatilityKRWUSD Curncy,Inverse_VolatilityIDRUSD Curncy,Inverse_VolatilityINRUSD Curncy,Inverse_VolatilityPHPUSD Curncy,Inverse_VolatilityTHBUSD Curncy,Inverse_VolatilityTRYUSD Curncy,Inverse_VolatilityRUBUSD Curncy,Inverse_VolatilityZARUSD Curncy,Inverse_VolatilityCZKEUR Curncy,Inverse_VolatilityHUFEUR Curncy,Inverse_VolatilityPLNEUR Curncy
2000-01-11,24.29800773203513,74.71077616684647,26.00009457469325,34.06147450220657,48.112056056703764,2825.513477263239,26.480101245638256,14.583523526641535,252.39756714583237,38.46428006648358,28.614057799596463,31.322882688403286,25.019913071583648,56.60893277902003,44.10450344424495,37.16862261360017,18.12376353606611
2000-01-12,24.209325460269568,75.33470594518677,25.95048833864774,33.88593562606183,47.065289255150205,2756.8451850233423,26.519212002487496,14.780642245560692,253.4424883656366,38.63785171370603,28.459236566482506,31.661107537500648,24.956959889019327,55.01099656499841,43.45282120595946,37.20160881540387,18.13686366626981
2000-01-13,23.894383748079214,74.72991606984452,25.61940479696597,33.24804221493899,46.58844230634355,2825.488379847785,26.069916903298225,14.89890408655297,253.4424883656366,38.88538529065948,28.46089593520627,31.64094613703001,25.00384084625981,55.108179162059685,44.12748463687068,36.98236562431361,18.193662486705392
2000-01-14,23.81345742768769,71.94455309893205,26.241554484521675,33.15025750560488,46.526951859631936,3232.6320227225015,24.363542104725454,14.872552600927936,251.43992270329608,39.62584332372463,28.53328035631799,30.10678676147612,25.233315641440104,55.62213602944475,43.68659310181386,37.059746248973575,18.22508249450419
2000-01-17,23.723170043654132,72.10907507375877,25.7671783346446,33.15211068071945,45.83761396459659,3205.661633906145,24.453647064537364,14.254729353224947,252.5932366201459,39.262617709241695,28.5319126938028,29.566744467713598,25.240386800567677,55.54598378970162,43.49309747492698,37.957163911484464,18.38375417660493
2000-01-18,24.43638784120485,72.21841173631086,21.445624596862164,32.49505642305511,42.54755056838818,3205.661633906145,24.21446659938974,14.288374713572729,252.5932366201459,39.04527939835831,28.561945405490146,30.057390750337582,25.192763401616418,55.23837338182236,43.05006370074022,40.02123947730502,18.27539067795683
2000-01-19,24.515504857527034,71.2081120682885,21.202803073259076,31.810022583472566,43.048793322899094,3106.4111495154675,23.874656355100292,14.271146823721146,247.3666497442759,38.917067225520164,28.87374666201805,30.059039365272064,25.07213609581666,54.331501764168436,44.561416767499296,40.39031808603762,18.6603738178114
2000-01-20,24.894646974622944,71.33213175738803,21.18192805703855,31.04231095243172,45.37037749320272,2997.5648572014006,23.630539281673858,14.220545389033546,243.53122172644663,38.98909144570709,28.83540099930624,30.006880513152215,25.38108738020701,54.073328060105815,45.231493248322685,40.20189413476113,18.8267328377319
2000-01-21,23.91696991413389,70.76857173804859,21.13744662761791,31.055809971740175,45.544034916210585,2997.5648572014006,23.634499977655317,14.201589370321184,237.31785471035923,39.07779895064446,29.378630606663453,31.406633407717703,25.339237131384508,51.88135223672507,44.71052286235699,39.76739463034544,19.951083406294455
2000-01-24,23.273430755444497,73.21891278140568,20.95706491580027,32.011845218488205,42.76803520382751,3090.3737895542263,23.763137761600596,14.848301838375768,225.65435751582461,38.97589201770368,29.474771975610455,32.37716028389208,25.302362991117803,50.23946606658217,45.24423924774706,39.281356606767176,20.289729290646857
2000-01-25,23.209991778064786,73.66715545396964,20.95808942242101,31.968863652271725,43.125040949784086,3090.35638388949,23.754331552124512,14.849885534096645,220.35757093262276,39.7071079167622,29.775616620793354,33.39071001275513,25.36061871341245,50.24795455544483,44.726516954091124,37.26297204451596,20.302886964641957
2000-01-26,23.2260456354675,71.4095346063489,20.918043616697666,30.133180806330166,43.38949264096778,3090.35638388949,24.52148104445622,15.520675451750243,220.34560345287855,39.67139712061785,29.784945324755906,33.37568580302995,25.59013860651835,50.68989318875607,44.726516954091124,36.66136525719249,20.316172742167502
